"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Bangkalan";"531243";"14";"Maret 2018"
"Banyuwangi";"407927";"7277";"Maret 2018"
"Blitar";"168111";"108";"Maret 2018"
"Bojonegoro";"86443";"0";"Maret 2018"
"Bondowoso";"26492";"1798";"Maret 2018"
"Gresik";"340030";"1560";"Maret 2018"
"Jember";"88613";"107";"Maret 2018"
"Jombang";"119765";"0";"Maret 2018"
"Kediri";"299577";"17";"Maret 2018"
"Lamongan";"280263";"18";"Maret 2018"
"Lumajang";"80365";"688";"Maret 2018"
"Madiun";"29996";"5";"Maret 2018"
"Magetan";"57247";"0";"Maret 2018"
"Malang";"316052";"999";"Maret 2018"
"Mojokerto";"156096";"139";"Maret 2018"
"Nganjuk";"31984";"0";"Maret 2018"
"Ngawi";"53602";"6";"Maret 2018"
"Pacitan";"83164";"190";"Maret 2018"
"Pamekasan";"8823";"0";"Maret 2018"
"Pasuruan";"121431";"578";"Maret 2018"
"Ponorogo";"32998";"0";"Maret 2018"
"Probolinggo";"54260";"2226";"Maret 2018"
"Sampang";"8250";"0";"Maret 2018"
"Sidoarjo";"123398";"462";"Maret 2018"
"Situbondo";"32371";"78";"Maret 2018"
"Sumenep";"90573";"116";"Maret 2018"
"Trenggalek";"86717";"0";"Maret 2018"
"Tuban";"579324";"105";"Maret 2018"
"Tulungagung";"106563";"7";"Maret 2018"
"Kota Batu";"572531";"1277";"Maret 2018"
"Kota Blitar";"310085";"140";"Maret 2018"
"Kota Kediri";"6669";"0";"Maret 2018"
"Kota Madiun";"6997";"0";"Maret 2018"
"Kota Malang";"219744";"608";"Maret 2018"
"Kota Mojokerto";"21784";"0";"Maret 2018"
"Kota Pasuruan";"19905";"20";"Maret 2018"
"Kota Probolinggo";"110702";"490";"Maret 2018"
"Kota Surabaya";"731800";"21847";"Maret 2018"
"Bangkalan";"106935";"19";"Januari 2018"
"Banyuwangi";"594876";"4379";"Januari 2018"
"Blitar";"246140";"110";"Januari 2018"
"Bojonegoro";"93541";"0";"Januari 2018"
"Bondowoso";"51318";"2778";"Januari 2018"
"Gresik";"282933";"252";"Januari 2018"
"Jember";"110578";"122";"Januari 2018"
"Jombang";"132411";"0";"Januari 2018"
"Kediri";"290872";"17";"Januari 2018"
"Lamongan";"225989";"13";"Januari 2018"
"Lumajang";"123886";"308";"Januari 2018"
"Madiun";"52223";"0";"Januari 2018"
"Magetan";"100427";"0";"Januari 2018"
"Malang";"476146";"884";"Januari 2018"
"Mojokerto";"214636";"193";"Januari 2018"
"Nganjuk";"45744";"0";"Januari 2018"
"Ngawi";"88077";"21";"Januari 2018"
"Pacitan";"143845";"80";"Januari 2018"
"Pamekasan";"9215";"2";"Januari 2018"
"Pasuruan";"288319";"2087";"Januari 2018"
"Ponorogo";"71598";"22";"Januari 2018"
"Probolinggo";"76888";"1939";"Januari 2018"
"Sampang";"7543";"0";"Januari 2018"
"Sidoarjo";"164604";"909";"Januari 2018"
"Situbondo";"63111";"59";"Januari 2018"
"Sumenep";"85697";"175";"Januari 2018"
"Trenggalek";"103619";"0";"Januari 2018"
"Tuban";"499266";"24";"Januari 2018"
"Tulungagung";"168271";"2";"Januari 2018"
"Kota Batu";"484081";"926";"Januari 2018"
"Kota Blitar";"311494";"77";"Januari 2018"
"Kota Kediri";"6975";"0";"Januari 2018"
"Kota Madiun";"8353";"0";"Januari 2018"
"Kota Malang";"239210";"547";"Januari 2018"
"Kota Mojokerto";"22214";"0";"Januari 2018"
"Kota Pasuruan";"31019";"20";"Januari 2018"
"Kota Probolinggo";"138209";"1178";"Januari 2018"
"Kota Surabaya";"667877";"7754";"Januari 2018"
"Bangkalan";"66563";"21";"Februari 2018"
"Banyuwangi";"388160";"6862";"Februari 2018"
"Blitar";"156924";"127";"Februari 2018"
"Bojonegoro";"77855";"0";"Februari 2018"
"Bondowoso";"29541";"2763";"Februari 2018"
"Gresik";"232684";"936";"Februari 2018"
"Jember";"80617";"96";"Februari 2018"
"Jombang";"120304";"0";"Februari 2018"
"Kediri";"197527";"26";"Februari 2018"
"Lamongan";"203230";"37";"Februari 2018"
"Lumajang";"67430";"369";"Februari 2018"
"Madiun";"31561";"2";"Februari 2018"
"Magetan";"67550";"0";"Februari 2018"
"Malang";"307951";"1048";"Februari 2018"
"Mojokerto";"133943";"162";"Februari 2018"
"Nganjuk";"35341";"2";"Februari 2018"
"Ngawi";"49919";"7";"Februari 2018"
"Pacitan";"70996";"52";"Februari 2018"
"Pamekasan";"11712";"0";"Februari 2018"
"Pasuruan";"192580";"1118";"Februari 2018"
"Ponorogo";"33472";"8";"Februari 2018"
"Probolinggo";"66640";"6754";"Februari 2018"
"Sampang";"6689";"5";"Februari 2018"
"Sidoarjo";"149145";"691";"Februari 2018"
"Situbondo";"31712";"65";"Februari 2018"
"Sumenep";"69734";"151";"Februari 2018"
"Trenggalek";"74795";"0";"Februari 2018"
"Tuban";"321262";"78";"Februari 2018"
"Tulungagung";"97719";"4";"Februari 2018"
"Kota Batu";"523434";"1267";"Februari 2018"
"Kota Blitar";"312869";"81";"Februari 2018"
"Kota Kediri";"5917";"0";"Februari 2018"
"Kota Madiun";"6718";"0";"Februari 2018"
"Kota Malang";"213120";"546";"Februari 2018"
"Kota Mojokerto";"22158";"0";"Februari 2018"
"Kota Pasuruan";"25730";"50";"Februari 2018"
"Kota Probolinggo";"102504";"650";"Februari 2018"
"Kota Surabaya";"618081";"6189";"Februari 2018"
"Bangkalan";"107733";"31";"April 2018"
"Banyuwangi";"435945";"8125";"April 2018"
"Blitar";"165933";"116";"April 2018"
"Bojonegoro";"87458";"0";"April 2018"
"Bondowoso";"29703";"3922";"April 2018"
"Gresik";"364088";"2342";"April 2018"
"Jember";"93549";"74";"April 2018"
"Jombang";"138402";"0";"April 2018"
"Kediri";"198631";"79";"April 2018"
"Lamongan";"224312";"12";"April 2018"
"Lumajang";"88078";"544";"April 2018"
"Madiun";"38718";"0";"April 2018"
"Magetan";"81813";"0";"April 2018"
"Malang";"406135";"2290";"April 2018"
"Mojokerto";"194152";"137";"April 2018"
"Nganjuk";"31171";"0";"April 2018"
"Ngawi";"66148";"8";"April 2018"
"Pacitan";"112436";"136";"April 2018"
"Pamekasan";"12738";"0";"April 2018"
"Pasuruan";"170427";"728";"April 2018"
"Ponorogo";"27876";"0";"April 2018"
"Probolinggo";"59421.715";"2476.285";"April 2018"
"Sampang";"7390";"8";"April 2018"
"Sidoarjo";"127516";"706";"April 2018"
"Situbondo";"40149";"188";"April 2018"
"Sumenep";"124997";"137";"April 2018"
"Trenggalek";"103457";"0";"April 2018"
"Tuban";"742557";"155";"April 2018"
"Tulungagung";"114674";"5";"April 2018"
"Kota Batu";"483392";"1113";"April 2018"
"Kota Blitar";"355524";"78";"April 2018"
"Kota Kediri";"8279";"0";"April 2018"
"Kota Madiun";"6338";"0";"April 2018"
"Kota Malang";"229874";"631";"April 2018"
"Kota Mojokerto";"16757";"0";"April 2018"
"Kota Pasuruan";"16286";"22";"April 2018"
"Kota Probolinggo";"153289";"140";"April 2018"
"Kota Surabaya";"676282";"6575";"April 2018"
"";"";"";"April 2018"
"Bangkalan";"86891";"10";"Mei 2018"
"Banyuwangi";"216686";"7198";"Mei 2018"
"Blitar";"130061";"193";"Mei 2018"
"Bojonegoro";"93455";"0";"Mei 2018"
"Bondowoso";"28240";"4689";"Mei 2018"
"Gresik";"331915";"1581";"Mei 2018"
"Jember";"140328";"48";"Mei 2018"
"Jombang";"98790";"0";"Mei 2018"
"Kediri";"141148";"60";"Mei 2018"
"Lamongan";"183478";"14";"Mei 2018"
"Lumajang";"54903";"579";"Mei 2018"
"Madiun";"34403";"17";"Mei 2018"
"Magetan";"54440";"0";"Mei 2018"
"Malang";"227439";"701";"Mei 2018"
"Mojokerto";"134275";"189";"Mei 2018"
"Nganjuk";"27510";"0";"Mei 2018"
"Ngawi";"47970";"5";"Mei 2018"
"Pacitan";"112919";"91";"Mei 2018"
"Pamekasan";"16990";"0";"Mei 2018"
"Pasuruan";"230868";"1585";"Mei 2018"
"Ponorogo";"28143";"0";"Mei 2018"
"Probolinggo";"52176.825";"1450.175";"Mei 2018"
"Sampang";"6302";"6";"Mei 2018"
"Sidoarjo";"93202";"1091";"Mei 2018"
"Situbondo";"31436";"145";"Mei 2018"
"Sumenep";"86007";"472";"Mei 2018"
"Trenggalek";"24385";"0";"Mei 2018"
"Tuban";"713001";"48";"Mei 2018"
"Tulungagung";"76531";"0";"Mei 2018"
"Kota Batu";"341737";"424";"Mei 2018"
"Kota Blitar";"179264";"78";"Mei 2018"
"Kota Kediri";"3627";"0";"Mei 2018"
"Kota Madiun";"6674";"0";"Mei 2018"
"Kota Malang";"236986";"622";"Mei 2018"
"Kota Mojokerto";"14910";"0";"Mei 2018"
"Kota Pasuruan";"17535";"28";"Mei 2018"
"Kota Probolinggo";"134687";"31";"Mei 2018"
"Kota Surabaya";"573154";"4533";"Mei 2018"
"";"";"";"Mei 2018"
"Bangkalan";"65261";"21";"Juni 2018"
"Banyuwangi";"494238";"6745";"Juni 2018"
"Blitar";"254663";"84";"Juni 2018"
"Bojonegoro";"61596";"0";"Juni 2018"
"Bondowoso";"37325";"4541";"Juni 2018"
"Gresik";"157463";"4575";"Juni 2018"
"Jember";"93110";"17";"Juni 2018"
"Jombang";"68688";"0";"Juni 2018"
"Kediri";"251389";"61";"Juni 2018"
"Lamongan";"201970";"10";"Juni 2018"
"Lumajang";"402841";"590";"Juni 2018"
"Madiun";"68558";"0";"Juni 2018"
"Magetan";"175815";"0";"Juni 2018"
"Malang";"352789";"360";"Juni 2018"
"Mojokerto";"154023";"25";"Juni 2018"
"Nganjuk";"56655";"0";"Juni 2018"
"Ngawi";"97525";"17";"Juni 2018"
"Pacitan";"336953";"97";"Juni 2018"
"Pamekasan";"16451";"0";"Juni 2018"
"Pasuruan";"230868";"1585";"Juni 2018"
"Ponorogo";"34119";"0";"Juni 2018"
"Probolinggo";"106883";"6268";"Juni 2018"
"Sampang";"105956";"15";"Juni 2018"
"Sidoarjo";"125746";"345";"Juni 2018"
"Situbondo";"65505";"111";"Juni 2018"
"Sumenep";"145517";"166";"Juni 2018"
"Trenggalek";"109754";"0";"Juni 2018"
"Tuban";"376972";"29";"Juni 2018"
"Tulungagung";"216613";"0";"Juni 2018"
"Kota Batu";"572103";"268";"Juni 2018"
"Kota Blitar";"208215";"71";"Juni 2018"
